id,task_number,workspace_team_id,time_period,name,comments,likes,assignee_id,status,status_color,execution_period,audience,weight,result_method,target,progress,kpis,child_goal,parent_goal,description,attachments,created_at,updated_at,raw_json
task_18,18,1,This Week,Báo cáo hiệu quả quảng cáo nộp đúng hạn,0,0,people_0,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,Week 1 (01/04 - 07/04/2026),Personal,5%,Manual Entry,,0,"[""On-time ads report""]",Nhóm 3: Báo cáo & phân tích,Marketing Performance KPI,Nộp báo cáo hiệu quả quảng cáo đúng hạn với tỷ lệ hoàn thành mục tiêu 100%.,[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_18"",""taskNumber"":18,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""Báo cáo hiệu quả quảng cáo nộp đúng hạn"",""comments"":0,""likes"":0,""assigneeId"":""people_0"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""Week 1 (01/04 - 07/04/2026)"",""audience"":""Personal"",""weight"":""5%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""On-time ads report""],""childGoal"":""Nhóm 3: Báo cáo & phân tích"",""parentGoal"":""Marketing Performance KPI"",""description"":""Nộp báo cáo hiệu quả quảng cáo đúng hạn với tỷ lệ hoàn thành mục tiêu 100%."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_14,14,1,This Week,Tỷ lệ ngân sách sử dụng đúng kế hoạch,0,0,people_0,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,Week 1 (01/04 - 07/04/2026),Personal,10%,Manual Entry,,0,"[""Tỷ lệ ngân sách sử dụng đúng kế hoạch""]",Nhóm 2: Quản lý ngân sách & tối ưu,Marketing Performance KPI,Đảm bảo ngân sách quảng cáo được sử dụng đúng theo kế hoạch đã duyệt.,[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_14"",""taskNumber"":14,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""Tỷ lệ ngân sách sử dụng đúng kế hoạch"",""comments"":0,""likes"":0,""assigneeId"":""people_0"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""Week 1 (01/04 - 07/04/2026)"",""audience"":""Personal"",""weight"":""10%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""Tỷ lệ ngân sách sử dụng đúng kế hoạch""],""childGoal"":""Nhóm 2: Quản lý ngân sách & tối ưu"",""parentGoal"":""Marketing Performance KPI"",""description"":""Đảm bảo ngân sách quảng cáo được sử dụng đúng theo kế hoạch đã duyệt."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_3,3,1,Last Week,Prepare event budget sheet,5,3,people_3,Completed,bg-blue-100 text-blue-800 dark:bg-blue-900 dark:text-blue-300,Week 4 (22/02 - 28/02/2026),Personal,15%,Manual Entry,,100,"[""Budget Accuracy""]",Budget draft,Q1 Event Launch,Completed the event budget baseline for stakeholder review.,[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_3"",""taskNumber"":3,""workspaceTeamId"":""1"",""timePeriod"":""Last Week"",""name"":""Prepare event budget sheet"",""comments"":5,""likes"":3,""assigneeId"":""people_3"",""status"":""Completed"",""statusColor"":""bg-blue-100 text-blue-800 dark:bg-blue-900 dark:text-blue-300"",""executionPeriod"":""Week 4 (22/02 - 28/02/2026)"",""audience"":""Personal"",""weight"":""15%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":100,""kpis"":[""Budget Accuracy""],""childGoal"":""Budget draft"",""parentGoal"":""Q1 Event Launch"",""description"":""Completed the event budget baseline for stakeholder review."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_10,10,1,This Week,Số lượng Mess (Messaging conversations started),0,0,people_0,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,Week 1 (01/04 - 07/04/2026),Personal,15%,Manual Entry,,0,"[""Số lượng Mess""]",Nhóm 1: Hiệu quả chiến dịch,Marketing Performance KPI,Theo dõi số lượng cuộc hội thoại nhắn tin được khởi tạo theo mục tiêu tháng.,[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_10"",""taskNumber"":10,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""Số lượng Mess (Messaging conversations started)"",""comments"":0,""likes"":0,""assigneeId"":""people_0"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""Week 1 (01/04 - 07/04/2026)"",""audience"":""Personal"",""weight"":""15%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""Số lượng Mess""],""childGoal"":""Nhóm 1: Hiệu quả chiến dịch"",""parentGoal"":""Marketing Performance KPI"",""description"":""Theo dõi số lượng cuộc hội thoại nhắn tin được khởi tạo theo mục tiêu tháng."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_12,12,1,This Week,Số lượng Checkout (Initiate Checkout),0,0,people_0,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,Week 1 (01/04 - 07/04/2026),Personal,10%,Manual Entry,,0,"[""Số lượng Checkout""]",Nhóm 1: Hiệu quả chiến dịch,Marketing Performance KPI,Đạt số lượng initiate checkout theo mục tiêu tháng của chiến dịch.,[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_12"",""taskNumber"":12,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""Số lượng Checkout (Initiate Checkout)"",""comments"":0,""likes"":0,""assigneeId"":""people_0"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""Week 1 (01/04 - 07/04/2026)"",""audience"":""Personal"",""weight"":""10%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""Số lượng Checkout""],""childGoal"":""Nhóm 1: Hiệu quả chiến dịch"",""parentGoal"":""Marketing Performance KPI"",""description"":""Đạt số lượng initiate checkout theo mục tiêu tháng của chiến dịch."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_15,15,1,This Week,Tỷ lệ Ads Account không bị gián đoạn hoặc có lỗi phân phối,0,0,people_0,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,Week 1 (01/04 - 07/04/2026),Personal,8%,Manual Entry,,0,"[""Ads Account Stability""]",Nhóm 2: Quản lý ngân sách & tối ưu,Marketing Performance KPI,"Giữ tài khoản quảng cáo hoạt động ổn định, không lỗi phân phối hoặc gián đoạn.",[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_15"",""taskNumber"":15,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""Tỷ lệ Ads Account không bị gián đoạn hoặc có lỗi phân phối"",""comments"":0,""likes"":0,""assigneeId"":""people_0"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""Week 1 (01/04 - 07/04/2026)"",""audience"":""Personal"",""weight"":""8%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""Ads Account Stability""],""childGoal"":""Nhóm 2: Quản lý ngân sách & tối ưu"",""parentGoal"":""Marketing Performance KPI"",""description"":""Giữ tài khoản quảng cáo hoạt động ổn định, không lỗi phân phối hoặc gián đoạn."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_16,16,1,This Week,CPM trung bình tài khoản,0,0,people_0,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,Week 1 (01/04 - 07/04/2026),Personal,7%,Manual Entry,,0,"[""CPM trung bình tài khoản""]",Nhóm 2: Quản lý ngân sách & tối ưu,Marketing Performance KPI,Theo dõi CPM trung bình để phản ánh chất lượng targeting và creative.,[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_16"",""taskNumber"":16,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""CPM trung bình tài khoản"",""comments"":0,""likes"":0,""assigneeId"":""people_0"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""Week 1 (01/04 - 07/04/2026)"",""audience"":""Personal"",""weight"":""7%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""CPM trung bình tài khoản""],""childGoal"":""Nhóm 2: Quản lý ngân sách & tối ưu"",""parentGoal"":""Marketing Performance KPI"",""description"":""Theo dõi CPM trung bình để phản ánh chất lượng targeting và creative."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_19,19,1,This Week,Chất lượng báo cáo (đầy đủ insight + đề xuất),0,0,people_0,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,Week 1 (01/04 - 07/04/2026),Personal,5%,Manual Entry,,0,"[""Báo cáo chất lượng""]",Nhóm 3: Báo cáo & phân tích,Marketing Performance KPI,"Đảm bảo báo cáo có đủ insight, nhận định và đề xuất hành động rõ ràng.",[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_19"",""taskNumber"":19,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""Chất lượng báo cáo (đầy đủ insight + đề xuất)"",""comments"":0,""likes"":0,""assigneeId"":""people_0"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""Week 1 (01/04 - 07/04/2026)"",""audience"":""Personal"",""weight"":""5%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""Báo cáo chất lượng""],""childGoal"":""Nhóm 3: Báo cáo & phân tích"",""parentGoal"":""Marketing Performance KPI"",""description"":""Đảm bảo báo cáo có đủ insight, nhận định và đề xuất hành động rõ ràng."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_23,23,1,This Week,"Cập nhật xu hướng, thuật toán nền tảng hoặc nghiên cứu đối thủ",0,0,people_0,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,Week 1 (01/04 - 07/04/2026),Personal,5%,Manual Entry,,0,"[""Trend and competitor update""]",Nhóm 5: Thái độ & kỷ luật,Marketing Performance KPI,"Chủ động cập nhật xu hướng, thay đổi thuật toán nền tảng và nghiên cứu đối thủ cạnh tranh.",[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_23"",""taskNumber"":23,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""Cập nhật xu hướng, thuật toán nền tảng hoặc nghiên cứu đối thủ"",""comments"":0,""likes"":0,""assigneeId"":""people_0"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""Week 1 (01/04 - 07/04/2026)"",""audience"":""Personal"",""weight"":""5%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""Trend and competitor update""],""childGoal"":""Nhóm 5: Thái độ & kỷ luật"",""parentGoal"":""Marketing Performance KPI"",""description"":""Chủ động cập nhật xu hướng, thay đổi thuật toán nền tảng và nghiên cứu đối thủ cạnh tranh."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_1,1,1,This Week,Finalize event landing page,7,2,people_3,In Progress,bg-green-100 text-green-800 dark:bg-green-900 dark:text-green-300,Week 1 (01/03 - 07/03/2026),Personal,35%,Manual Entry,,65,"[""Event Leads"",""Landing Page Conversion""]",Finalize planning assets,Q1 Event Launch,Coordinate the main event landing experience and campaign readiness.,[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_1"",""taskNumber"":1,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""Finalize event landing page"",""comments"":7,""likes"":2,""assigneeId"":""people_3"",""status"":""In Progress"",""statusColor"":""bg-green-100 text-green-800 dark:bg-green-900 dark:text-green-300"",""executionPeriod"":""Week 1 (01/03 - 07/03/2026)"",""audience"":""Personal"",""weight"":""35%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":65,""kpis"":[""Event Leads"",""Landing Page Conversion""],""childGoal"":""Finalize planning assets"",""parentGoal"":""Q1 Event Launch"",""description"":""Coordinate the main event landing experience and campaign readiness."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_4,4,1,This Month,Coordinate venue checklist,8,6,people_3,In Progress,bg-green-100 text-green-800 dark:bg-green-900 dark:text-green-300,March 2026,Team,30%,Manual Entry,,65,"[""Checklist Completion""]",Venue operations,Q1 Event Launch,"Track all venue requirements, vendors, and readiness checkpoints.",[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_4"",""taskNumber"":4,""workspaceTeamId"":""1"",""timePeriod"":""This Month"",""name"":""Coordinate venue checklist"",""comments"":8,""likes"":6,""assigneeId"":""people_3"",""status"":""In Progress"",""statusColor"":""bg-green-100 text-green-800 dark:bg-green-900 dark:text-green-300"",""executionPeriod"":""March 2026"",""audience"":""Team"",""weight"":""30%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":65,""kpis"":[""Checklist Completion""],""childGoal"":""Venue operations"",""parentGoal"":""Q1 Event Launch"",""description"":""Track all venue requirements, vendors, and readiness checkpoints."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
